UB,LB,Time
7.31E+06,1.09E+06,522.1409145
6.95E+06,1.44E+06,336.6389898
8.31E+06,1.70E+06,215.4167214
7.17E+06,1.95E+06,310.3029242
7.51E+06,2.69E+06,232.3218792
6.98E+06,3.03E+06,366.0939977
7.17E+06,3.59E+06,272.19498
7.42E+06,3.99E+06,397.3661474
6.94E+06,5.02E+06,491.5459073
7.02E+06,5.02E+06,487.0762708
6.69E+06,5.09E+06,326.158194
6.68E+06,5.32E+06,333.1568479
6.58E+06,5.33E+06,360.6869719
6.76E+06,5.59E+06,385.0574512
6.74E+06,5.60E+06,356.1530928
6.49E+06,5.66E+06,408.2512327
6.60E+06,5.67E+06,508.9107481
6.62E+06,5.80E+06,452.900328
6.66E+06,5.81E+06,654.854733
6.46E+06,5.84E+06,332.2890918
6.56E+06,5.86E+06,603.864209
6.43E+06,5.88E+06,413.7919183
6.47E+06,5.89E+06,529.4352616
6.48E+06,5.89E+06,650.6814139
6.67E+06,5.90E+06,642.0990177
6.46E+06,5.91E+06,702.7191591
6.36E+06,5.92E+06,428.8756858
6.58E+06,5.93E+06,609.4610749
6.38E+06,5.93E+06,424.7468491
6.43E+06,5.93E+06,489.3726575
6.52E+06,5.93E+06,625.0561588
6.52E+06,5.94E+06,607.2282151
6.38E+06,5.95E+06,680.1925949
6.41E+06,5.95E+06,469.0521691
6.39E+06,5.97E+06,438.3704571
6.43E+06,5.98E+06,728.7451213
6.55E+06,5.98E+06,742.8860764
6.53E+06,5.98E+06,768.7722789
6.43E+06,5.99E+06,550.4290227
6.42E+06,5.99E+06,621.3831566
6.55E+06,5.99E+06,670.6955085
6.38E+06,6.00E+06,622.75809
6.46E+06,6.00E+06,805.1925309
6.46E+06,6.00E+06,732.221504
6.47E+06,6.00E+06,587.4570942
6.43E+06,6.00E+06,521.2325419
6.51E+06,6.01E+06,750.2822708
6.39E+06,6.01E+06,643.8309545
6.42E+06,6.01E+06,501.2039655
6.43E+06,6.01E+06,546.6592368
6.37E+06,6.01E+06,737.5492791
6.39E+06,6.02E+06,850.3174406
6.41E+06,6.02E+06,542.2567837
6.56E+06,6.02E+06,784.3801012
6.44E+06,6.02E+06,724.4295227
6.62E+06,6.02E+06,648.1695191
6.44E+06,6.03E+06,771.3646019
6.35E+06,6.04E+06,616.2294441
6.40E+06,6.04E+06,662.3129987
6.46E+06,6.04E+06,613.3439915
6.41E+06,6.04E+06,603.8170638
6.38E+06,6.04E+06,574.6867907
6.43E+06,6.05E+06,587.8494736
6.42E+06,6.05E+06,755.9043767
6.37E+06,6.05E+06,728.3161504
6.45E+06,6.05E+06,703.7773902
6.35E+06,6.05E+06,610.5838601
6.49E+06,6.05E+06,731.1954066
6.38E+06,6.05E+06,602.8110543
6.56E+06,6.05E+06,906.6033875
6.42E+06,6.05E+06,715.3665166
6.42E+06,6.05E+06,646.3398757
6.38E+06,6.06E+06,813.2243753
6.42E+06,6.06E+06,563.2609885
6.45E+06,6.06E+06,577.6244357
,,
,4.66E-02,11.92498012
