UB,LB,Time
6.554600290298826e6,2.2958315507267043e6,1766.738262483
7.396682358267241e6,3.2041830715858475e6,1881.8228729510001
6.448880612109689e6,3.8902518008350832e6,885.802624956
6.71399450319753e6,5.87668052884684e6,1484.446132955
6.464992952173028e6,5.983855820006938e6,1669.5542501789998
6.466797737739511e6,6.064637024598263e6,1499.160106456
6.408399854209187e6,6.075318235453445e6,1625.604532753
6.34858366364291e6,6.111769252190961e6,2028.132510501
6.416125481008773e6,6.11290580292648e6,1649.966029746
6.316271807260435e6,6.1166169935345715e6,1724.7729889379998
6.352898251094587e6,6.128773295739057e6,1414.4252427170002
6.351785746811651e6,6.133438092758273e6,3143.778740318
6.354237498970147e6,6.144661968098554e6,2890.913176221
6.422151555090761e6,6.146583847230978e6,4078.044767556
6.400123585642433e6,6.154136468081434e6,3025.330170726
6.296730530674571e6,6.162415735272681e6,2832.306619323
6.316382403702104e6,6.164639224197762e6,2025.549384293
6.326470477114339e6,6.165300767849214e6,4258.4684500719995
6.297543097980497e6,6.167289754709505e6,1455.488571815
6.321602550050672e6,6.169902600921981e6,2926.062895129
6.281174521892825e6,6.17376208507752e6,2604.597684629
6.338318558181673e6,6.177986320727587e6,3661.423409344
6.291417353005029e6,6.181617983829816e6,3340.288340952
6.37039635874587e6,6.183926681145253e6,3801.971313003
6.390664825537293e6,6.187106610479502e6,3367.872412817
6.3154361648567915e6,6.188810380742805e6,3543.863105561
6.38780116614588e6,6.191337073306432e6,3249.208643737
6.374870281050855e6,6.191359344390878e6,2081.099827974
6.299914352845836e6,6.196640764586746e6,5805.3971240519995
6.378886492793027e6,6.196985248105872e6,3368.4772432580003
6.346327110865265e6,6.198269375505988e6,4121.157316124
6.327297351915397e6,6.199050517885401e6,4095.4278237040003
6.348795196204368e6,6.20131515378605e6,3884.5901227
6.406925966259178e6,6.201686677337347e6,3629.699345461
6.322117459656533e6,6.202101227701994e6,4622.189244647
6.322051780741538e6,6.204621084415624e6,4212.060863083
6.3193581289724335e6,6.203246601842428e6,3542.198134933
6.341850124468339e6,6.205702608851999e6,3822.177707773
6.335007765628513e6,6.207110936077746e6,3993.970706546
6.378698702837961e6,6.209371524622809e6,4583.696956258
6.336978001729273e6,6.210289230557341e6,4143.5948145
6.301591269408114e6,6.21056874221866e6,3633.4268257430003
6.302901063844193e6,6.21145944914488e6,3655.451320747
6.299571593125289e6,6.211825643701928e6,5028.020369121
6.287817850271286e6,6.211957728434412e6,3782.979454625
6.32633003534781e6,6.21210693118408e6,5263.774705518
6.3176659218121655e6,6.212792217260219e6,3880.112601297
6.311112615216779e6,6.213175173040619e6,4092.6684017740004
6.361229537293201e6,6.214517628941982e6,6228.634511744
6.310782294072671e6,6.214988105302867e6,4683.0916372169995
6.296771853129649e6,6.215895955287891e6,6304.574558886
6.314080423485631e6,6.217362959262542e6,5527.131908380999
6.305899281303416e6,6.217559972074485e6,4785.772968372
6.282309939547631e6,6.217874335412011e6,4330.290865499001
6.281348710105371e6,6.21794254309642e6,5227.178467782001
6.292617482293248e6,6.218682404704664e6,4280.185231394
6.2702100228914935e6,6.218927355542025e6,8396.435067885
6.298656121985877e6,6.219544809685974e6,4684.789042298
6.337283939604215e6,6.22033996181163e6,5231.816915599
6.295150806031708e6,6.219742650398953e6,4228.54480538
6.272939712067727e6,6.219863353784669e6,6367.81018274
6.279754966657295e6,6.220836321980035e6,12147.355558891
6.281834028030222e6,6.22137406468942e6,6002.252910198
6.308059122947635e6,6.2213918066298375e6,4906.748957743001
6.301391895904632e6,6.222240463014381e6,6456.074254587999
6.348611244941069e6,6.222793925241882e6,5986.541769683
6.272708398786174e6,6.222834534644019e6,7750.185377812
6.3112842820965e6,6.223803438499676e6,5376.340377963999
6.365376829133278e6,6.223911985473947e6,9853.478431469
6.299434572299708e6,6.223990703482813e6,5026.428351012
6.305713888580866e6,6.225096407355132e6,6079.230723336
6.282335525079258e6,6.225628455801531e6,6628.118684805
6.374672146924542e6,6.2248402487523025e6,6806.356035872
6.309492698828191e6,6.225853726773953e6,6198.327019685
6.322905451348832e6,6.22520704986098e6,5437.734943335
