UB,LB,Time
770406.0711511371,62061.955922420195,29.232347010999998
585182.5748553004,138700.41693584932,26.017438951000003
494469.43973735353,183439.18946392325,19.385386777
486377.2369975747,183439.18946392328,17.528585796
585198.6037659772,312893.9915047065,23.1739559
495730.3700814615,317024.6801726342,20.606399509
493293.7999133774,391267.6255390735,19.996114372999997
521233.7297700328,440374.35369049106,20.245609284
486760.76848292863,441601.5453076295,18.066507355
486386.24262671784,449759.6187664356,18.508354293
499466.57302285597,472160.54870856344,18.242248177
486160.02195166674,472550.6976823533,20.428909465
486319.3779559512,477630.03673597844,19.150765313
486197.0191434945,477630.03673597844,19.252890033
486123.0625044237,477630.03673597844,19.345253868
494118.6857300904,477630.03673597844,20.751691153
486118.6857300903,477633.38698593964,20.239408513
486118.6857300903,477633.38698593964,18.568499111
