UB,LB,Time
7.789269030462036e6,209.979,2.3575676
1.624173087705751e7,209.979,1.0297899000000001
1.6245576434892455e7,209.979,1.1458430000000002
1.7647526602293592e7,209.979,1.0432188
1.6942119835075285e7,498.35561469382753,1.2992716
2.0118957787811227e7,499.63067319984816,1.4172167
1.2097972754764466e7,499.67802953841937,1.2160419
1.1570150166707482e7,508.29989521614226,1.2073451
1.7723265545466647e7,540.0034158903785,1.8659364
1.6894480961822398e7,666.5867363518905,2.297885
1.8980560003344513e7,845.9509859828597,2.5390126
1.7978539441579267e7,1081.4772362464034,2.5304420999999997
1.2145013989709694e7,1270.604635487745,1.2696566
3.3320638046854334e6,1348.306526770561,1.8100306000000002
5.043451125563792e6,1420.9798325238855,1.8123532
5.32677581779928e6,1503.2419736685383,2.5188352
3.6483070405134796e6,1542.7297760853598,3.5815986
2.4019400126058096e6,1615.915188257501,3.3478295
3.424504769197669e6,1690.4095714538196,2.7928678
2.6066784451338444e6,1863.0731101032834,2.5477736
3.466801529540715e6,2088.614393873401,3.806044
2.4808732644110247e6,2334.3511486839275,3.2926290999999996
2.7537729512261734e6,2756.2884509829655,3.5877252
912581.998762302,2918.454684676086,3.7789501
1.2435910748019996e6,3160.0334096467404,3.8033315
611196.2758965549,3331.0736674693526,2.8188266
789912.9508863722,3385.0038570645775,4.9331611
489416.17755538394,3538.5972407846466,4.2994203
464752.666826576,3600.0861641937818,4.3058863
504386.1813927028,3714.640374552325,3.710234
420515.67406062793,3851.370612448634,3.7512380999999997
375232.16467681644,3959.2196740675327,3.9766097
308666.18521537154,4001.658487328276,3.8962166999999996
534806.1128055544,4098.440438928741,4.078708
419828.35822859255,4185.219828464651,4.5129199
438692.0208858552,4319.511553903202,4.2164474
415384.6478968524,4458.053717879934,3.7338676
362892.20338111196,4604.110252272467,4.0296678
275965.56401869975,4656.3109650131055,4.0942106
318322.54694055056,4921.597365944423,4.8258221
362081.8101871484,5261.449734610176,3.8454289
356307.70661407005,5407.825575148785,4.3257319
334284.9857226351,5521.67064181302,4.1538143
675958.5100039828,6332.030718883056,4.3265861
315030.5427714573,6357.094473684432,4.4553688000000005
203046.30292136595,6586.915930009953,3.9032293
376362.80527824356,6808.121636715605,3.7633823
270582.66417869704,6828.242166645625,3.0223258
194623.9552682569,6871.480020449944,3.9035059
347826.89877629856,7216.425281354834,3.316592
222290.0663103812,7242.337410614597,5.324706
248497.93634378604,7376.764713212917,3.8789915
408916.1640776349,7413.801695440838,3.1159136
135118.86352357452,7413.8314391976455,3.3743716
259788.86381118957,7463.980363289622,3.5926745
218160.8571234219,7467.120264478064,3.8899692
96030.22914988223,7486.655236782972,4.4176706
103494.13206736931,7494.912050212941,4.7147151
150485.9698007043,7634.236951463674,4.4526835
94742.6204963571,7634.245160478629,4.7826605
112371.75680357752,7666.91390158244,4.6513957
92003.17335513214,7706.541623342098,4.029976899999999
120273.52446733414,7929.0418818513135,4.4213911
141705.16091410333,8049.391333597283,4.846784100000001
83872.60064232559,8051.964001911663,4.4218983000000005
97634.63936699995,8102.604344408224,4.3641858
137848.21202699412,8215.611540768565,3.3296991
84090.30104438515,8216.081533957367,4.0730404
97832.99202605171,8228.640833301266,4.3652126
69000.98980327153,8264.890627648841,4.9096641000000005
135777.8771635003,8498.819056299006,3.8489527
78893.99408803193,8506.364589564335,4.6530448
181981.68337186417,8582.341843154623,4.0414312
99827.79456965727,8582.422508715026,4.6954008
84580.48467677145,8642.358603095825,4.5775996
83735.15072877433,8659.18154119829,5.0063516
45775.81360385716,8674.126583318022,4.8175942
75658.7478563313,8737.345412472663,4.5470243
110006.19085823429,8753.200724280425,4.80241
54214.947926476554,8756.314867719433,5.3364037
71665.37905006944,8794.909810500343,5.047104200000001
48515.762960090884,8820.307293838494,4.7466361
53823.40280906736,8900.642685043073,5.0615978
41655.94306522639,8923.288869245305,4.4584441
31215.75183377611,8925.764756771532,4.8101809
33998.25106933035,8946.450013760455,4.7683327
35133.59422427314,8984.41053437171,4.4601958
25162.946944200252,8988.19273380297,5.106226
80679.26956576282,9099.163766157602,4.5572116000000005
40244.714183027965,9099.255807778842,4.6423568
31261.67253645903,9113.968073536947,4.844124900000001
26945.13296535677,9140.290972913586,5.0975742
30376.46219705886,9168.326775516718,4.8948941
28194.268306464077,9197.662136398925,4.8488343
24492.013408499326,9244.133821897398,5.1488997
21022.866366341135,9254.178061008075,5.1425221
18136.46571500833,9267.443364382692,4.8063189
33754.78597352119,9337.65314677442,5.0699494
32120.38801764146,9346.16100706879,4.9294541
20618.287675923955,9360.17235863478,5.0532786000000005
16541.22063513839,9362.872331028353,5.1067705000000005
19723.079403240197,9423.21110370521,4.8547423
21234.308084608983,9424.654474548559,4.6703984
18491.790485938258,9441.848271364885,5.2501084
17593.50991192198,9461.333328150373,4.6809183
14270.631739256844,9474.996668027612,4.9273892
