UB,LB,Time
5.241471303472744e6,209.979,2.6420363
1.4475251103336254e10,209.979,3.3707059999999998
2.667631771916078e6,209.979,2.6240118
1.33706181237726e6,209.979,2.1921471
668842.2405035647,209.979,2.4588243000000003
1.1039206159766484e6,223.58410326781018,3.7504695
334533.7566510676,223.58410326781018,3.7553243999999997
781364.5617604984,224.68233897134965,3.6582417
167379.219495035,224.68233897134965,4.1492852000000005
96895.90380089893,224.68233897134965,3.6707644999999998
150472.62511109584,224.68233897134965,3.8817804999999996
146559.6512600464,224.68233897134965,3.9152839999999998
6.556036645899056e7,224.68233897134965,3.6484194999999997
205756.262777773,224.68233897134965,4.1814286
1.667282324221301e8,224.68233897134965,3.9960179
9.576054177895309e7,224.68233897134965,4.033966700000001
59359.03941741052,224.68233897134965,4.156808600000001
62166.5519650032,348.5543752454445,5.496430500000001
54370.7463195377,379.0552653057222,5.2921458
68557.12540265576,384.17815367793503,4.798604500000001
6.129365171053544e7,384.73149372530145,5.2733407
3.1055967694474616e9,384.73149383958435,4.6051541
375350.76920092705,2687.8774851056796,4.5103536
124864.68250862866,5267.880282965547,4.5592756
43734.86443203009,7269.49018763128,4.6751643
28741.876036968766,7340.326287769829,5.3265564
19422.0306176178,7433.170945161604,4.273925800000001
24223.984660387832,7621.616382529144,4.999923900000001
15851.013212945772,9016.440160616185,4.4219248
12664.200286939527,9297.789568442851,4.8852398
11658.779818534445,9403.269028918701,5.1614453000000005
10947.009611846335,9593.481730535277,5.2089422
11543.805105569301,9649.150247046375,4.9532473
10609.624951430664,9740.257122963783,5.4498012
10581.53305315916,9826.488926840597,5.2737094
10192.432507788137,9850.218810848775,5.6383267
15320.680291166434,9873.327886794228,5.1736428000000005
10249.690231245993,9916.840916976216,5.864205200000001
10100.594863528902,9951.993123861379,5.4508647
10894.7820399275,9959.036907194415,5.0721116
10175.46890803829,9973.884320683894,5.7573556
10074.9636900012,9982.43039546872,5.6102802
10052.892780750539,9984.240119929076,5.7857477
10391.867731351258,9988.97256160865,5.3044514000000005
10124.432390882053,9991.954447444761,5.3916962
10040.589324386576,9995.98668135563,4.9455272
10058.059823570475,9999.836325378274,5.4288139
10049.343226524012,10001.562964159064,5.9757996
10022.165494700903,10005.337712605251,5.5886415000000005
10367.794521274833,10006.960911489325,4.9022102
10023.092841972102,10009.226341537898,5.9396016000000005
10035.353521098887,10010.135095120175,5.8083352
10015.096607648522,10010.689717224916,5.4736506
10021.796846459516,10011.040271566133,5.7322558
10034.266026428902,10011.872131365468,5.755057900000001
10019.2232304331,10012.03700581973,5.5913846
10015.94719629563,10012.245987149188,6.1295365
10015.853738404774,10012.33155029011,5.3148996
10013.880306775796,10012.519058492035,6.0033687
10013.523358100601,10012.67774577858,5.9387051
