UB,LB,Time
1.269601806021374e6,2541.3664594788324,5.5951041
1.3906494935399609e9,2541.3664594788324,4.3995315
1.852626091429796e9,2541.3664594702177,4.1941115
2.758084325344603e8,2541.3664594765078,3.8558364999999997
9.697728270805949e8,2541.3664594780066,4.3012882
4.7154093032669835e7,2541.3664594702454,3.882789
6.3619579759561345e6,3826.1382455447742,2.7775585
367321.9388866116,4026.891955712534,3.6553557
392218.7306910274,4071.684423082812,4.441513700000001
362627.0857357101,4168.855123019588,5.2413974
433595.72090433456,4346.594248687858,4.9130297
343324.02443113027,4608.659050769958,5.6940424
294552.91319167294,5033.318090881264,5.7890556
438630.55813849496,5252.732211134484,5.2040639
301540.9910113458,5448.452287213441,3.8762706
274035.71830639924,5564.615907140853,5.2003045000000006
382516.141906216,5885.262493741239,4.3933789
249502.58697946803,6025.576852365404,4.7097678
303944.2492295145,6355.449937934818,5.3639187
228173.54642558144,6560.06142307255,5.0336688
195766.4924203911,6971.759927108143,6.179467900000001
111352.59449135256,6980.599522141732,5.2651003
291620.4243715834,7410.223104193961,5.3231475
146467.71280784535,7604.828482451097,4.9420551
162008.28722721493,7837.297420871174,4.7903854
118265.27571130046,7864.3856388786535,5.790407500000001
92196.60849571826,8056.7366851538645,4.6647336
79901.95460846408,8094.06455627886,4.6278872
83125.90893297733,8344.963071722359,5.0299511
56376.492445711876,8361.547555801299,5.3358615
77558.77834772479,8712.19784751386,6.0694735
54089.01793463194,8728.602274728533,4.9874047
49898.04154880462,8822.785701054803,4.7725603
41932.88953809101,8901.27265265505,5.046643400000001
38300.74578997444,8971.383941324491,5.2852639
43091.46965321268,9018.488758554491,4.970535
24772.123163855045,9035.280627537377,5.0208263
93235.12057956793,9155.872832311716,5.0869444
35267.04929594309,9247.123167855249,5.1622522
53385.05012386089,9306.880965498067,4.6769581
31833.260054344337,9322.655700690717,5.2405189000000005
30469.345035408256,9357.939382525443,5.3762347
24989.272053962402,9395.443384288435,5.4713924
20772.46985525214,9400.222060633223,5.5896879
24528.072650739043,9416.613203202158,6.1482136
19300.123425842055,9422.975972165168,5.326199600000001
24289.963753304204,9469.05184794054,5.1313206000000005
19729.61296322953,9475.183841342743,5.9234238999999995
17360.386548333525,9492.149712624192,6.469686
16846.972928488052,9500.282953670638,6.196880500000001
