UB,LB,Time
1.2696018060213325e6,2541.3664594788324,6.0587628
1.3906494935399086e9,2541.3664594788324,4.398467200000001
1.2055632668134736e8,2541.36645965013,4.7239402
1.4343320063565924e9,2541.366459568671,4.3810454000000005
2.9793046061729274e9,2541.366459471804,4.6419422
3.297073406859591e8,2541.366459470635,4.9251183
2.4561533542783484e7,3846.3191800548775,4.105218000000001
789355.5775909042,3988.616461228784,3.9632813
399459.5933256063,4051.56026432609,4.9328186
386046.8407553115,4125.12474059106,5.6571112
293516.31493512203,4263.425813854271,4.935906800000001
303241.18919048,4389.028540201021,5.2696776000000005
281180.6226843383,4473.182665522721,4.975612600000001
352673.7501620263,4837.885246875032,4.8625571999999995
313966.5466260284,5013.121228581138,5.236922
298706.34177210554,5372.922967659033,6.226448700000001
473790.65324850706,6028.30878113936,4.3831652000000005
282047.1641483709,6114.1407547331,4.7336068000000004
284001.2860361992,6241.9575895075495,4.8019825
301235.730252858,6912.130567229303,5.4049116
170276.05444632002,7075.197782275061,4.5585334
188570.04160436318,7158.926397789559,5.6703758
158603.5338660187,7413.040995152878,4.8420667
118403.03174248652,7735.832917064494,4.9552515
88891.03076598496,7831.798140853381,5.3712767
130241.81413045936,7966.416403022686,5.820825500000001
127690.36103010307,8063.856968825866,5.5586150000000005
88350.33074584404,8250.264342367442,5.302599600000001
77588.8206229601,8494.199482771983,5.4137633
78118.01302234938,8671.275104651331,5.0968051
60239.702695941996,8729.247558819072,5.8021483
82310.6382745094,8906.08795489634,5.867219400000001
29489.34701285724,8941.295556962961,5.366395
52228.38790728256,8994.445315456365,4.4656
30143.682177543735,9004.170732975579,5.5505787
40054.54264099223,9109.269163706902,5.1161027
26550.788569232387,9127.73334758486,5.5989793
31128.095449086464,9171.228800260349,5.671437200000001
37125.49906183506,9299.638790507039,5.5136621
24617.827829293557,9307.619691751926,5.483132899999999
28611.991048166165,9343.392304099383,5.6221426
33658.00740202713,9347.239289516334,5.4790786
22920.360836035306,9356.296787517063,6.1726220000000005
19877.706773517843,9367.903087132458,6.362079
20821.22921457944,9408.175548784046,5.770039000000001
16883.390848329534,9454.730728457987,5.9086725
14603.138312560126,9455.285075847569,5.5969217
19664.54834484248,9479.780475298006,5.7034183
14586.209286383184,9484.412914919872,5.7989972
20872.715582939716,9533.59823764635,5.2365504000000005
16653.76339368295,9534.053144710655,5.4407989
17238.325122836563,9541.884141341814,6.6308948999999995
15902.740442260441,9549.001269272187,5.8661908
14343.516232019547,9553.56071622262,6.6890554
13189.832975518862,9604.508504671026,6.2455407
12068.026052968205,9606.950136131332,5.8475713
14979.58879510578,9626.609507103572,5.615120500000001
23557.471631007207,9629.107068365289,4.8728204
11946.03641873339,9629.972246749418,5.8290333
12702.997621794557,9631.054774323718,6.3397283
11258.880630292602,9631.873884325682,5.9244737
12202.829231832744,9638.065258619163,5.8566749
11325.08178579616,9662.435065739775,6.3375193
10993.168736051257,9668.111844002666,5.4959826
10831.294537646532,9669.684459689532,5.5663068
12330.949331057342,9670.254424688746,5.9101411
14929.920897598131,9738.106651077605,6.0690979
12885.495763584375,9739.905449148426,6.0721181
10555.788413612829,9742.452501348067,5.9517608
11654.215285310249,9749.351110826738,5.3754371
12169.858206632467,9769.236626487816,6.3727881
10654.09936482985,9770.615810548836,5.8194217
10675.152037921018,9773.964165223564,5.4742617000000005
11166.242042863127,9779.274531367153,6.0632982
11073.465221382943,9802.320488911797,5.7480083
12415.69359917177,9823.297025802356,5.981534600000001
11284.680443388179,9825.901975700326,5.5540212
10579.633296284264,9826.84999786055,5.5781663
10257.718447845653,9827.317438634036,6.0635418
10494.39874364778,9844.578716539709,5.5047829
10875.905595140419,9848.499529545908,5.7609735
10438.736183436833,9849.07853277969,5.788050800000001
10143.08162471437,9849.284569764115,5.8862997
11298.001264661674,9853.337704551106,6.383526600000001
10648.177891625806,9858.310241966716,5.8615879
10264.895017636392,9860.298689675155,5.769572999999999
10132.525913763473,9861.608793754034,6.0149574
11915.60628300433,9899.10943648018,6.2865376
10264.156070064513,9899.474641152363,6.3370025000000005
10622.947511152128,9900.344722988479,5.723813600000001
10135.930261537516,9900.490860033988,5.8290767
11125.039707152011,9912.084994937355,5.9056809
10578.298809070637,9912.226215694825,6.2017783
